제목,설명,한글
포기(抛棄),하려던 일을 도중에 그만두어 버림.,피읖
포도(葡萄),"푸른빛, 자주빛, 검은빛 등의 색깔을 가진 달콤하고 신 과일.",피읖
포도주(葡萄酒),포도의 즙을 원료로 하여 담근 술.,피읖
포로(捕虜),사로잡은 적.,피읖
포르투갈(Portugal),유럽 남부 이베리아 반도 서쪽 끝에 있는 공화국.,피읖
포마드(pomade),머리털에 바르는 반고체의 진득진득한 기름.,피읖
포병(砲兵),"육군에서, 포 사격을 맡아 하는 군대나 군인.",피읖
포상(褒賞),칭찬하고 장려하여 상을 줌.,피읖
포섭(包攝),상대편을 자기편으로 끌어 넣음.,피읖
ㅎ [히읗],,히읗
하교(下校),학교에서 공부를 마치고 돌아옴.,히읗
하나님,기독교에서 믿는 유일신.,히읗
하나하나,각각의 낱개. 하나씩.,히읗
하느님,우주를 창조하고 주재한다고 믿어지는 초자연적인 절대자.,히읗
하늘,지평선이나 수평선 위로 보이는 무한대의 넓은 공간.,히읗
하다,"사람이나 동물, 물체 따위가 행동이나 작용을 이루다.",히읗
하드 디스크(hard disk),"컴퓨터에서 헤드, 디스크 따위를 넣어 밀봉한 고정 자기 장치.",히읗
하루,한 낮과 한 밤이 지나는 동안의 24시간.,히읗
하마(河馬),호수나 늪지대에서 사는 입이 아주 큰 짐승.,히읗
하마터면,조금만 잘못하였더라면.,히읗
하모니카(harmonica),"직사각형의 틀에 조그마한 칸을 여러 개 만들고, 칸마다 쇠붙이를 끼워 만든 작은 관악기.",히읗
하물며,‘더군다나’의 뜻을 가진 접속 부사.,히읗
하반신(下半身),몸의 허리 아래 부분.,히읗
하복(夏服),여름철에 입는 옷.,히읗
하사(下士),중사의 바로 아래 계급 또는 그 계급을 가진 군인.,히읗
하소연,억울한 일이나 딱한 사정 따위를 간곡히 호소함.,히읗
하숙(下宿),일정한 방세와 식비를 내고 남의 집에 머물면서 숙식함.,히읗
하순(下旬),한 달 가운데 스무하룻날부터 그믐날까지의 동안.,히읗
하야(下野),권력자가 관직이나 정계에서 물러남을 이르는 말.,히읗
하양,흰 빛.,히읗
하와이(Hawaii),미국 하와이 주 가운데 가장 큰 섬.,히읗
하이킹(hiking),산이나 들 같은 곳을 걸어서 여행함.,히읗
하이힐(high heeled shoes),굽이 높은 여자용 구두.,히읗
하체(下體),물체나 신체의 아랫부분.,히읗
하품,"졸리거나 고단하거나 배부르거나 할 때, 절로 입이 벌어지면서 하는 깊은 호흡.",히읗
학(鶴),목과 다리가 길고 몸통이 흰 큰 새.,히읗
학과(學科),교수 또는 연구의 편의를 위하여 구분한 학술의 분과.,히읗
학교(學校),일정한 목적·교육 과정·설비·제도 및 법규에 의하여 교사가 계속적으로 학생에게 교육을 실시하는 기관.,히읗
학급(學級),한 교실에서 공부하는 학생의 단위 집단.,히읗
학기(學期),한 학년 동안의 수업 시일을 나누어 놓은 기간.,히읗
학년(學年),일 년 간의 학습 과정의 단위.,히읗
학대(虐待),몹시 괴롭히거나 가혹하게 대우함.,히읗
학력(學歷),학교 교육을 받은 경력.,히읗
학령(學齡),초등학교에 들어가야 할 나이.,히읗
학문(學問),어떤 분야를 체계적으로 배워서 익힘. 또는 그런 지식.,히읗
학부모(學父母),학교에 다니는 자녀를 둔 부모.,히읗
학비(學費),공부하는 데 드는 돈.,히읗
학사(學士),대학의 학부 과정을 마치고 규정된 절차를 밟은 사람에게 수여하는 학위를 이르는 말.,히읗
학생(學生),학교에 다니면서 공부하는 사람.,히읗
학습(學習),배워서 익힘.,히읗
학식(學識),학문과 식견을 통틀어 이르는 말.,히읗
학업(學業),공부하여 학문을 닦는 일.,히읗
학예회(學藝會),"무용, 노래, 연극 등을 학부모나 일반인들에게 보여주는 행사.",히읗
학용품(學用品),공부에 필요한 물품,히읗
학원(學園),학교 및 기타 교육 기관을 통틀어 이르는 말.,히읗
학자(學者),학문에 능통한 사람.,히읗
학점(學點),대학 또는 대학원에서 한 학과에 대한 성적을 표시하는 단위.,히읗
학질,모기에 의해 전염되며 열과 오한 증세를 보이는 병.,히읗
학창(學窓),"배움의 창가라는 뜻으로, 공부하는 교실이나 학교를 이르는 말.",히읗
학칙(學則),"학교의 학과, 편제, 교과 과정, 입학, 졸업, 상벌 따위에 관한 규칙.",히읗
학회(學會),학문을 깊이 있게 연구하고 더욱 발전시키기 위하여 만든 모임.,히읗
한(恨),몹시 원망스럽고 억울하거나 안타깝고 슬퍼 응어리진 마음. 원한.,히읗
한가롭다(閑暇-),한가한 느낌이 있다.,히읗
한가운데,가운데에서도 가장 중심이 되는 곳.,히읗
한가위,음력으로 팔월 보름날에 지내는 명절.,히읗
한가지,"형태, 성질, 동작 따위가 서로 같은 것.",히읗
한강(漢江),우리나라 중부를 흐르는 강.,히읗
한결,전에 비하여서 한층 더.,히읗
한결같다,처음부터 끝까지 변함없이 꼭 같다.,히읗
한계(限界),"사물이나 능력, 책임 따위가 실제 작용할 수 있는 범위.",히읗
한국(韓國),대한민국.,히읗
한국수화(韓國手話),한국 농인들이 농인사회에서 사용하는 비음성 언어.,히읗
한국어(韓國語),한국인이 쓰는 언어.,히읗
한국장애인고용촉진공(韓國障碍人雇傭促進,"장애인이 직업 생활을 통해 자립할 수 있도록 지원하고, 고용촉진 및 직업재활 업무를 수행하기 위한 목적으로 설립된 공단.",히읗
한글,우리나라 고유 글자의 이름. 세종대왕이 창제한 훈민정음을 20세기 이후 달리 이르는 말.,히읗
한글날,"세종대왕이 창제한 훈민정음의 반포를 기념하고, 한글을 보급·연구하는 일을 장려하기 위하여 정한 날.",히읗
한글 지문자(-指文字),"손가락으로 한글 자모의 모양을 지어, 이를 부호(符號)로 한 문자.",히읗
한길,사람이 많이 다니는 큰 길.,히읗
한꺼번에,몰아서 한 차례에.,히읗
한나절,하루 낮의 반(半).,히읗
한낮,낮 열두시를 전후한 시간.,히읗
한낱,기껏해야 대단한 것 없이 다만.,히읗
한도(限度),일정한 정도 이상을 넘을 수 없는 범위.,히읗
한동안,꽤 오랫동안.,히읗
한때,어느 한 시기.,히읗
한라산(漢拏山),제주도 중앙에 있는 산.,히읗
한문(漢文),한자(漢字)만으로 쓰여진 문장이나 문학.,히읗
한반도(韓半島),우리나라 국토 전역을 포괄하는 반도.,히읗
한번(一番),어떤 일을 시험 삼아 시도함을 나타내는 말.,히읗
한복(韓服),우리나라의 고유한 옷.,히읗
한사코(限死-),몹시 고집을 세워.,히읗
한센병(Hansen病),‘나병’을 달리 이르는 말.,히읗
한식(韓食),우리나라 고유의 음식이나 식사.,히읗
한약(韓藥),한방에서 쓰는 약.,히읗
한없다(限-),끝이 없다. 한없이.,히읗
한의사(韓醫師),한의학을 전공한 의사.,히읗
한자(漢字),중국어를 표기하는 문자.,히읗
한참,시간이 상당히 지나는 동안.,히읗
한창,가장 활기차게 활동하거나 어떤 일이 일어날 때.,히읗
한층¹(一層),"한결, 더욱.",히읗
한 층²,여러 층으로 지은 집에서 같은 높이를 이루고 있는 부분 중 1개 층.,히읗
한탄(恨歎),원통하거나 뉘우쳐지거나 하여 한숨을 쉬며 탄식함.,히읗
한턱,크게 남에게 음식을 대접함.,히읗
한테,에게'의 뜻으로 쓰이는 부사격 조사.,히읗
한파(寒波),갑자기 몰아치는 추위.,히읗
한편(一便),한쪽. 일방. 한쪽으로는.,히읗
한평생(一平生),살아 있는 동안.,히읗
할렐루야(히 Hallelujah),하나님을 찬양한다는 뜻을 나타내는 말.,히읗
할머니,아버지나 어머니의 어머니 또는 나이가 많이 든 늙은 여자.,히읗
할 수 없다,어떤 일을 감당할 능력이나 자신이 없다.,히읗
할 수 있다,,히읗
할아버지,아버지나 어머니의 아버지 또는 나이가 많이 든 늙은 남자.,히읗
할인(割引),일정한 값에서 얼마를 뺌.,히읗
할퀴다,손톱이나 날카로운 물건으로 긁어 상처를 내다.,히읗
핥다,① 혀를 무엇에 대고 맛보다. ② 혓바닥으로 물건 겉을 쓸어들이다.,히읗
함경남도(咸鏡南道),우리나라 북동부에 있는 도.,히읗
함경북도(咸鏡北道),우리나라 가장 북쪽에 있는 도.,히읗
함구(緘口),어떤 사실에 대해 말하지 아니함.,히읗
함께,더불어서. 여럿이 한데 같이.,히읗
